name,year,company_id,company_name,company_url,company_country,company_startyear
Alleyway,1989,33804,Playtronic,https://www.igdb.com/companies/playtronic,Brazil,1993
Alone in the Dark,2008,213,Infogrames,https://www.igdb.com/companies/infogrames,France,1983
Alone in the Dark,2008,885,Krisalis Software,https://www.igdb.com/companies/krisalis-software,,
Alone in the Dark,2008,3022,Kung Fu Factory,https://www.igdb.com/companies/kung-fu-factory,United States,
Alone in the Dark,2008,213,Infogrames,https://www.igdb.com/companies/infogrames,France,1983
Alone in the Dark,2008,2379,Pony Canyon,https://www.igdb.com/companies/pony-canyon,Japan,1969
Alone in the Dark,2008,24213,Interplay,https://www.igdb.com/companies/interplay,,
Alone in the Dark,2008,2406,"Atari, Inc.",https://www.igdb.com/companies/atari-inc,United States,2003
Alpha Protocol,2010,47,Obsidian Entertainment,https://www.igdb.com/companies/obsidian-entertainment,United States,2003
Alpha Protocol,2010,112,Sega,https://www.igdb.com/companies/sega,Japan,2020
Alter Echo,2003,197,THQ,https://www.igdb.com/companies/thq,United States,1989
Alter Echo,2003,505,Outrage Games,https://www.igdb.com/companies/outrage-games,United States,1997
Alundra,1997,322,Matrix Software,https://www.igdb.com/companies/matrix-software,Japan,1994
Alundra,1997,820,Working Designs,https://www.igdb.com/companies/working-designs,United States,1986
Alundra,1997,764,Psygnosis,https://www.igdb.com/companies/psygnosis,United Kingdom,1984
Alundra,1997,13634,Sony Computer Entertainment,https://www.igdb.com/companies/sony-computer-entertainment,Japan,1993
Alvin and the Chipmunks,2007,2088,Brash Entertainment,https://www.igdb.com/companies/brash-entertainment,,
Alvin and the Chipmunks,2007,461,Fox Interactive,https://www.igdb.com/companies/fox-interactive,,
Alvin and the Chipmunks,2007,1319,Sensory Sweep Studios,https://www.igdb.com/companies/sensory-sweep-studios,,
Alvin and the Chipmunks: Chipwrecked,2011,700,Majesco Entertainment,https://www.igdb.com/companies/majesco-entertainment,United States,1986
