name,url,year,rating,votes,plot
Alvin and the Chipmunks: Chipwrecked,https://www.imdb.com/title/tt2846384/?ref_=adv_li_tt,2011,3.7,37,Add a Plot
Alvin and the Chipmunks: The Squeakquel,https://www.imdb.com/title/tt2034616/?ref_=adv_li_tt,2009,4.9,37,"Alvin and the Chipmunks are touring once again. Join Alvin, Simon, Theodore and the Chipettes, Brittany, Jeanette and Eleanor on their tour around the world."
Amazing Island,https://www.imdb.com/title/tt0884012/?ref_=adv_li_tt,2004,4.0,12,Add a Plot
America's Army: Rise of a Soldier,https://www.imdb.com/title/tt0490789/?ref_=adv_li_tt,2005,7.7,27,Add a Plot
Amplitude,https://www.imdb.com/title/tt0379698/?ref_=adv_li_tt,2003,7.6,49,"In this game, you control a Beat Blaster and you must zap the note capsules to turn on and keep up the rhythms of the tracks until you reach the finish line."
Angry Birds Trilogy,https://www.imdb.com/title/tt17522322/?ref_=adv_li_tt,2012,7.2,10,"Angry Birds Trilogy is a compilation of the first three games in Angry Birds series: Angry Birds, Angry Birds Rio, and Angry Birds Seasons."
Animal Crossing,https://www.imdb.com/title/tt0339987/?ref_=adv_li_tt,2001,8.2,932,"A game in which players live a second life in a virtual town - decorating their houses, interacting with fellow villagers, and more."
Animal Crossing: Amiibo Festival,https://www.imdb.com/title/tt6087618/?ref_=adv_li_tt,2015,1.9,520,"Choose between your favorite Animal Crossing characters to play a board game based on the months of the year, you win this game by making your character the happiest of them all."
Animal Crossing: City Folk,https://www.imdb.com/title/tt1353179/?ref_=adv_li_tt,2008,6.8,730,Live and prosper as a new resident in a town populated and run by animals.
Animal Crossing: Happy Home Designer,https://www.imdb.com/title/tt4917440/?ref_=adv_li_tt,2015,2.9,264,A brilliant game of house garden and facilities designer. Put all kinds of stuff in a building from small chairs to giant eggs and turn it into your dream neighborhood.
Animal Crossing: New Leaf,https://www.imdb.com/title/tt2395074/?ref_=adv_li_tt,2012,7.6,"1,082",Live and prosper as a mayor in a town full of animals where you can basically do anything you want while paying the loan on your house. Installment for the Nintendo 3DS.
