name,url,year,rating,votes,plot,Key
Myst,https://www.imdb.com/title/tt0158814/?ref_=adv_li_tt,1993,8.3,767,"The player is the Stranger, an unknown person mysteriously transported to the island of Myst. Alone and without clues, the Stranger must solve the mysteries and discover the secrets of this strange place.",tt0158814
Pyst,https://www.imdb.com/title/tt0158870/?ref_=adv_li_tt,1996,3.6,31,"Interactive tour of the island of Pyst, a very loose parody of Myst. The place has been turned into a real dump by the millions of filthy tourists. Meet the locals and their coy king Mattruss and see if there's anything to do there.",tt0158870
The Simpsons: Virtual Springfield,https://www.imdb.com/title/tt0158958/?ref_=adv_li_tt,1997,6.5,240,An Interactive Springfield from the TV show The Simpsons. You can walk around and visit various locations from the show. You can collect things from these places in order to access other previously inaccessible ones.,tt0158958
Tex Murphy: Overseer,https://www.imdb.com/title/tt0159016/?ref_=adv_li_tt,1998,8.1,154,"During a date, Tex agrees to retell his first adventure, Mean Streets, to his girlfriend Chelsee. Tex is hired by Sylvia Linsky to find out if her scientist father was murdered. Meanwhile, tensions between normals and mutants are rising.",tt0159016
Phantasmagoria 2: A Puzzle of Flesh,https://www.imdb.com/title/tt0159646/?ref_=adv_li_tt,1996,7.4,389,"Curtis Craig, a totally normal man begins to hear strange voices. Could it be that he is an insane killer..?",tt0159646
Star Trek: Klingon Academy,https://www.imdb.com/title/tt0159771/?ref_=adv_li_tt,2000,8.1,101,"In this FMV space combat game and prequel to Star Trek VI: The Undiscovered Country (1991), the death of a respected Klingon leader causes a coup d'état attempt. General Chang and his best cadet, Torlek (the player), try to stop it.",tt0159771
Star Trek: The Game Show,https://www.imdb.com/title/tt0159772/?ref_=adv_li_tt,1998,6.3,28,You are stuck in the middle of one of Q's games as he makes you answer trivia about the 20th Century television science fiction phenomenon 'Star Trek'.,tt0159772
Star Wars: Jedi Knight - Dark Forces II,https://www.imdb.com/title/tt0160910/?ref_=adv_li_tt,1997,8.5,"1,340","You play as Kyle Katarn, a mercenary whose skills progress into becoming a Jedi knight, to stop a team of dark Jedis from taking the valley of the Jedi's power.",tt0160910
Starfleet Academy: Chekov's Lost Missions,https://www.imdb.com/title/tt0160912/?ref_=adv_li_tt,1998,6.8,27,"Expansion pack for ""Starfleet Academy"", where the player, a starfleet trainee, gets 7 new missions from Chekov and Sulu. You can use brute force or ambassadorial approach in most missions. Your choices earn you praise or criticism.",tt0160912
Talk with Me! Barbie,https://www.imdb.com/title/tt0160958/?ref_=adv_li_tt,1997,2.4,13,Add a Plot,tt0160958
Cliff Hanger,https://www.imdb.com/title/tt0161443/?ref_=adv_li_tt,1983,7.6,46,You control a lovable thief through various dangers to rescue a damsel in distress from a villainous count.,tt0161443
Resident Evil 2,https://www.imdb.com/title/tt0161941/?ref_=adv_li_tt,1998,9.1,"5,873","Two months after the mansion events, the deadly T-virus escapes into the streets of Raccoon City. Leon Kennedy and Claire Redfield find the police office left abandoned. In an underground facility the story of Umbrella Corp. gets unfolded.",tt0161941
Resident Evil 2,https://www.imdb.com/title/tt0161941/?ref_=adv_li_tt,1998,9.1,"5,875","Two months after the mansion events, the deadly T-virus escapes into the streets of Raccoon City. Leon Kennedy and Claire Redfield find the police office left abandoned. In an underground facility the story of Umbrella Corp. gets unfolded.",tt0161941
Space Ace,https://www.imdb.com/title/tt0161985/?ref_=adv_li_tt,1983,7.3,277,"You guide Ace through various dangers as you fight to save his girlfriend Kimberly, from the villain, Borf.",tt0161985
Street Fighter: The Movie,https://www.imdb.com/title/tt0161993/?ref_=adv_li_tt,1995,4.4,"1,916",Fighting game based on the 1994 movie which is itself based on Street Fighter II arcade. The film's characters played by the film's cast in digitized form take on evil dictator M. Bison while trying to save the hostages he captured.,tt0161993
Time Traveler,https://www.imdb.com/title/tt0162010/?ref_=adv_li_tt,1991,7.6,19,Arcade game from Dragon's Lair co-creator Rick Dyer that tried to emulate holographic imagery. Marshal Gram is brought through time to save galactic princess Kyi-La and stop mad scientist Vulcor before he tears the fabric of space-time.,tt0162010
The 7th Guest,https://www.imdb.com/title/tt0162137/?ref_=adv_li_tt,1993,7.8,254,"An unidentified man finds himself in the foyer of an old mansion that was once the property of a well known toy maker, a Mr. Stauf. As the man explores the mansion, he discovers that the mansion is haunted by six ghosts.",tt0162137
Blasto,https://www.imdb.com/title/tt0162199/?ref_=adv_li_tt,1998,8.1,77,"Third person shooter with platforming elements about bombastic, if a bit dimwitted, superhero Captain Blasto. Alien overlord Bosc has conquered Uranus, kidnapped Space Babes and now wants Earth. Blasto must stop him.",tt0162199
Ironsword: Wizards & Warriors II,https://www.imdb.com/title/tt0162409/?ref_=adv_li_tt,1988,6.6,47,"The evil Wizard Malkil has survived the first battle, but only in the form of four elementals. The bouncing knight Kuros sets out again to defeat him, this time with the aid of shop and ... See full summary »",tt0162409
Star Wars: Dark Forces,https://www.imdb.com/title/tt0163281/?ref_=adv_li_tt,1995,7.9,"1,040","After successfully retrieving the Death Star plans, Kyle Katarn is hired by the Rebel Alliance to uncover information about a secret trooper project the Empire has in development.",tt0163281
Star Wars: X-Wing,https://www.imdb.com/title/tt0163282/?ref_=adv_li_tt,1993,8.0,319,Be a Rebel pilot during the Galactic Civil War. Fly the most famous Star Wars starfighters in furious battles against Imperial pilots.,tt0163282
Gex: Enter the Gecko,https://www.imdb.com/title/tt0163645/?ref_=adv_li_tt,1998,7.6,208,"After few years in solitude, Gex is called out of his home by the NSA to go up against his nemesis, Rez, who is out to control the world yet again.",tt0163645
Gex: Enter the Gecko,https://www.imdb.com/title/tt0163645/?ref_=adv_li_tt,1998,7.6,209,"After few years in solitude, Gex is called out of his home by the NSA to go up against his nemesis, Rez, who is out to control the world yet again.",tt0163645
Outlaws,https://www.imdb.com/title/tt0164127/?ref_=adv_li_tt,1997,8.1,174,Former old west Marshal James Anderson is living a quiet life with his wife and young daughter when a railroad baron's thugs kill his wife and kidnap his daughter to force him to sell his ... See full summary »,tt0164127
Star Wars: Jedi Knight - Mysteries of the Sith,https://www.imdb.com/title/tt0164179/?ref_=adv_li_tt,1998,7.6,477,"Expansion pack for Star Wars: Jedi Knight - Dark Forces II (1997) including a single-player mode story set five years after the events of Dark Forces II, and fifteen multiplayer maps that allows up to eight players to play online or over a Local area network.",tt0164179
The 11th Hour,https://www.imdb.com/title/tt0164310/?ref_=adv_li_tt,1995,7.5,98,"It has been 62 years ever since the murders of the six guests in Henry Stauf's abandoned mansion of puzzles. The year is 1995, and you are reporter Carl Denning, for a TV forensic program, ... See full summary »",tt0164310
The Vortex: Quantum Gate II,https://www.imdb.com/title/tt0164964/?ref_=adv_li_tt,1994,7.4,13,Private Drew Griffin has discovered the truth behind his mission on the hostile planet AJ3905. Now he must learn about this new alien world and its inhabitants and make a fateful choice.,tt0164964
The X-Files Game,https://www.imdb.com/title/tt0164974/?ref_=adv_li_tt,1998,8.5,832,Young FBI field agent Craig Willmore is assigned to find Mulder and Scully as they've gone missing during their latest investigation into the paranormal.,tt0164974
