name,rating,votes,year,url,plot,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales,company_name,company_url,company_country,company_startyear
"Monsters, Inc. Scream Team",6.5,66,2001,https://www.imdb.com/title/tt6483658/?ref_=adv_li_tt,"In order to become top scarers, Mike and his best friend Sulley have to go to Scare Island for training.",Platform,0.31,0.21,0.0,0.04,0.56,Sony Computer Entertainment,https://www.igdb.com/companies/sony-computer-entertainment,Japan,1993.0
Moon Patrol,7.1,71,1982,https://www.imdb.com/title/tt0317921/?ref_=adv_li_tt,"Player drives a moon buggy jumping over craters, rocks and land mines, shooting simultaneously at rocks in front and aliens above while dodging their missiles.",Shooter,1.05,0.06,0.0,0.01,1.12,Atari,https://www.igdb.com/companies/atari,United States,1972.0
Moon Patrol,7.1,71,1982,https://www.imdb.com/title/tt0317921/?ref_=adv_li_tt,"Player drives a moon buggy jumping over craters, rocks and land mines, shooting simultaneously at rocks in front and aliens above while dodging their missiles.",Shooter,1.05,0.06,0.0,0.01,1.12,Atari Corporation,https://www.igdb.com/companies/atari-corporation,United States,1984.0
Moon Patrol,7.1,71,1982,https://www.imdb.com/title/tt0317921/?ref_=adv_li_tt,"Player drives a moon buggy jumping over craters, rocks and land mines, shooting simultaneously at rocks in front and aliens above while dodging their missiles.",Shooter,1.05,0.06,0.0,0.01,1.12,Irem,https://www.igdb.com/companies/irem,Japan,1974.0
Moon Patrol,7.1,71,1982,https://www.imdb.com/title/tt0317921/?ref_=adv_li_tt,"Player drives a moon buggy jumping over craters, rocks and land mines, shooting simultaneously at rocks in front and aliens above while dodging their missiles.",Shooter,1.05,0.06,0.0,0.01,1.12,Williams Electronics,https://www.igdb.com/companies/williams-electronics,,
Moon Patrol,7.1,71,1982,https://www.imdb.com/title/tt0317921/?ref_=adv_li_tt,"Player drives a moon buggy jumping over craters, rocks and land mines, shooting simultaneously at rocks in front and aliens above while dodging their missiles.",Shooter,1.05,0.06,0.0,0.01,1.12,Dempa Shimbunsha,https://www.igdb.com/companies/dempa-shimbunsha,Japan,
Moon Patrol,7.1,71,1982,https://www.imdb.com/title/tt0317921/?ref_=adv_li_tt,"Player drives a moon buggy jumping over craters, rocks and land mines, shooting simultaneously at rocks in front and aliens above while dodging their missiles.",Shooter,1.05,0.06,0.0,0.01,1.12,Andromeda Software,https://www.igdb.com/companies/andromeda-software,,
Moon Patrol,7.1,71,1982,https://www.imdb.com/title/tt0317921/?ref_=adv_li_tt,"Player drives a moon buggy jumping over craters, rocks and land mines, shooting simultaneously at rocks in front and aliens above while dodging their missiles.",Shooter,1.05,0.06,0.0,0.01,1.12,General Computer Corporation (GCC),https://www.igdb.com/companies/general-computer-corporation-gcc,,
Mortal Kombat,8.4,3870,2011,https://www.imdb.com/title/tt1386939/?ref_=adv_li_tt,"A reboot of the Mortal Kombat franchise with a retcon to the earliest periods in the series, featuring a multitude of game modes.",Fighting,3.61,0.8800000000000001,0.0,0.47,4.96,NetherRealm Studios,https://www.igdb.com/companies/netherrealm-studios,United States,2010.0
Mortal Kombat,8.4,3870,2011,https://www.imdb.com/title/tt1386939/?ref_=adv_li_tt,"A reboot of the Mortal Kombat franchise with a retcon to the earliest periods in the series, featuring a multitude of game modes.",Fighting,3.61,0.8800000000000001,0.0,0.47,4.96,WB Games,https://www.igdb.com/companies/wb-games,United States,1993.0
Mortal Kombat 3,7.7,2021,1995,https://www.imdb.com/title/tt0202480/?ref_=adv_li_tt,"Sindel is reincarnated in Earthrealm, and billions of their souls are being stripped as it becomes a part of Outworld. Shao Kahn unleashes squads to kill any Earthrealm survivors, so Raiden's chosen warriors are send in to repel Shao Kahn.",Fighting,0.29,0.2,0.02,0.04,0.55,Midway Games,https://www.igdb.com/companies/midway-games,United States,1969.0
Mortal Kombat 3,7.7,2021,1995,https://www.imdb.com/title/tt0202480/?ref_=adv_li_tt,"Sindel is reincarnated in Earthrealm, and billions of their souls are being stripped as it becomes a part of Outworld. Shao Kahn unleashes squads to kill any Earthrealm survivors, so Raiden's chosen warriors are send in to repel Shao Kahn.",Fighting,0.29,0.2,0.02,0.04,0.55,Sculptured Software,https://www.igdb.com/companies/sculptured-software,United States,1984.0
Mortal Kombat 3,7.7,2021,1995,https://www.imdb.com/title/tt0202480/?ref_=adv_li_tt,"Sindel is reincarnated in Earthrealm, and billions of their souls are being stripped as it becomes a part of Outworld. Shao Kahn unleashes squads to kill any Earthrealm survivors, so Raiden's chosen warriors are send in to repel Shao Kahn.",Fighting,0.29,0.2,0.02,0.04,0.55,Tec Toy,https://www.igdb.com/companies/tec-toy,Brazil,1987.0
Mortal Kombat 3,7.7,2021,1995,https://www.imdb.com/title/tt0202480/?ref_=adv_li_tt,"Sindel is reincarnated in Earthrealm, and billions of their souls are being stripped as it becomes a part of Outworld. Shao Kahn unleashes squads to kill any Earthrealm survivors, so Raiden's chosen warriors are send in to repel Shao Kahn.",Fighting,0.29,0.2,0.02,0.04,0.55,Playtronic,https://www.igdb.com/companies/playtronic,Brazil,1993.0
Mortal Kombat II,8.2,2695,1993,https://www.imdb.com/title/tt0203703/?ref_=adv_li_tt,"When emperor Shao Kahn invokes a Mortal Kombat tournament rematch, Raiden gathers his Earthrealm warriors and takes them into Outworld.",Fighting,1.48,0.39,0.0,0.06,1.93,Acclaim Entertainment,https://www.igdb.com/companies/acclaim-entertainment,United States,1987.0
Mortal Kombat II,8.2,2695,1993,https://www.imdb.com/title/tt0203703/?ref_=adv_li_tt,"When emperor Shao Kahn invokes a Mortal Kombat tournament rematch, Raiden gathers his Earthrealm warriors and takes them into Outworld.",Fighting,1.48,0.39,0.0,0.06,1.93,Sculptured Software,https://www.igdb.com/companies/sculptured-software,United States,1984.0
Mortal Kombat II,8.2,2695,1993,https://www.imdb.com/title/tt0203703/?ref_=adv_li_tt,"When emperor Shao Kahn invokes a Mortal Kombat tournament rematch, Raiden gathers his Earthrealm warriors and takes them into Outworld.",Fighting,1.48,0.39,0.0,0.06,1.93,Probe Entertainment,https://www.igdb.com/companies/probe-entertainment,United Kingdom,1984.0
Mortal Kombat II,8.2,2695,1993,https://www.imdb.com/title/tt0203703/?ref_=adv_li_tt,"When emperor Shao Kahn invokes a Mortal Kombat tournament rematch, Raiden gathers his Earthrealm warriors and takes them into Outworld.",Fighting,1.48,0.39,0.0,0.06,1.93,Midway,https://www.igdb.com/companies/midway,United States,1988.0
Mortal Kombat II,8.2,2695,1993,https://www.imdb.com/title/tt0203703/?ref_=adv_li_tt,"When emperor Shao Kahn invokes a Mortal Kombat tournament rematch, Raiden gathers his Earthrealm warriors and takes them into Outworld.",Fighting,1.48,0.39,0.0,0.06,1.93,Tec Toy,https://www.igdb.com/companies/tec-toy,Brazil,1987.0
Mortal Kombat II,8.2,2695,1993,https://www.imdb.com/title/tt0203703/?ref_=adv_li_tt,"When emperor Shao Kahn invokes a Mortal Kombat tournament rematch, Raiden gathers his Earthrealm warriors and takes them into Outworld.",Fighting,1.48,0.39,0.0,0.06,1.93,Playtronic,https://www.igdb.com/companies/playtronic,Brazil,1993.0
Mortal Kombat Mythologies: Sub-Zero,5.9,338,1997,https://www.imdb.com/title/tt0190573/?ref_=adv_li_tt,"The story of mortal kombat fighter Sub zero, a ninja who accidently gives a spiritual amulet to evil sorcerer Quan chi.",Fighting,0.7,0.33,0.0,0.04,1.08,Midway Games,https://www.igdb.com/companies/midway-games,United States,1969.0
Mortal Kombat Mythologies: Sub-Zero,5.9,338,1997,https://www.imdb.com/title/tt0190573/?ref_=adv_li_tt,"The story of mortal kombat fighter Sub zero, a ninja who accidently gives a spiritual amulet to evil sorcerer Quan chi.",Fighting,0.7,0.33,0.0,0.04,1.08,Gradiente,https://www.igdb.com/companies/gradiente,Brazil,1969.0
Mortal Kombat Mythologies: Sub-Zero,5.9,338,1997,https://www.imdb.com/title/tt0190573/?ref_=adv_li_tt,"The story of mortal kombat fighter Sub zero, a ninja who accidently gives a spiritual amulet to evil sorcerer Quan chi.",Fighting,0.7,0.33,0.0,0.04,1.08,Avalanche Software,https://www.igdb.com/companies/avalanche-software,United States,1995.0
Mortal Kombat Trilogy,8.0,1341,1996,https://www.imdb.com/title/tt0203704/?ref_=adv_li_tt,"Mortal Kombat Trilogy has over 30 characters for some one-on-one martial arts fighting, while also introducing the ""Aggressor"" bar, and a new finishing move called Brutality.",Fighting,2.7,0.92,0.0,0.13,3.75,GT Interactive Software,https://www.igdb.com/companies/gt-interactive-software,United States,1993.0
Mortal Kombat Trilogy,8.0,1341,1996,https://www.imdb.com/title/tt0203704/?ref_=adv_li_tt,"Mortal Kombat Trilogy has over 30 characters for some one-on-one martial arts fighting, while also introducing the ""Aggressor"" bar, and a new finishing move called Brutality.",Fighting,2.7,0.92,0.0,0.13,3.75,Midway Games,https://www.igdb.com/companies/midway-games,United States,1969.0
Mortal Kombat Trilogy,8.0,1341,1996,https://www.imdb.com/title/tt0203704/?ref_=adv_li_tt,"Mortal Kombat Trilogy has over 30 characters for some one-on-one martial arts fighting, while also introducing the ""Aggressor"" bar, and a new finishing move called Brutality.",Fighting,2.7,0.92,0.0,0.13,3.75,Williams Entertainment,https://www.igdb.com/companies/williams-entertainment,,
Mortal Kombat Trilogy,8.0,1341,1996,https://www.imdb.com/title/tt0203704/?ref_=adv_li_tt,"Mortal Kombat Trilogy has over 30 characters for some one-on-one martial arts fighting, while also introducing the ""Aggressor"" bar, and a new finishing move called Brutality.",Fighting,2.7,0.92,0.0,0.13,3.75,SoftBank,https://www.igdb.com/companies/softbank,,
Mortal Kombat Trilogy,8.0,1341,1996,https://www.imdb.com/title/tt0203704/?ref_=adv_li_tt,"Mortal Kombat Trilogy has over 30 characters for some one-on-one martial arts fighting, while also introducing the ""Aggressor"" bar, and a new finishing move called Brutality.",Fighting,2.7,0.92,0.0,0.13,3.75,Point of View,https://www.igdb.com/companies/point-of-view,,
Mortal Kombat Trilogy,8.0,1341,1996,https://www.imdb.com/title/tt0203704/?ref_=adv_li_tt,"Mortal Kombat Trilogy has over 30 characters for some one-on-one martial arts fighting, while also introducing the ""Aggressor"" bar, and a new finishing move called Brutality.",Fighting,2.7,0.92,0.0,0.13,3.75,Avalanche Software,https://www.igdb.com/companies/avalanche-software,United States,1995.0
Mortal Kombat X,8.3,3978,2015,https://www.imdb.com/title/tt3772796/?ref_=adv_li_tt,"Two years after the death of Shao Khan, the heroes of Earthrealm must face their fallen comrades and prevent Shinnok from corrupting the Jinsei, the source of Earthrealm's life-force.",Fighting,2.48,1.01,0.0,0.6,4.1000000000000005,NetherRealm Studios,https://www.igdb.com/companies/netherrealm-studios,United States,2010.0
Mortal Kombat X,8.3,3978,2015,https://www.imdb.com/title/tt3772796/?ref_=adv_li_tt,"Two years after the death of Shao Khan, the heroes of Earthrealm must face their fallen comrades and prevent Shinnok from corrupting the Jinsei, the source of Earthrealm's life-force.",Fighting,2.48,1.01,0.0,0.6,4.1000000000000005,WB Games,https://www.igdb.com/companies/wb-games,United States,1993.0
Mortal Kombat vs. DC Universe,6.7,1590,2008,https://www.imdb.com/title/tt1107835/?ref_=adv_li_tt,"The world of Justice League and the Netherealm collide following the merge between Darkseid and Shao Kahn, ultimately forming Dark Kahn. Heroes are haunted by a mysterious force called Rage, forgetting who the true enemy is.",Fighting,3.01,0.54,0.0,0.38,3.93,WB Games,https://www.igdb.com/companies/wb-games,United States,1993.0
Mortal Kombat vs. DC Universe,6.7,1590,2008,https://www.imdb.com/title/tt1107835/?ref_=adv_li_tt,"The world of Justice League and the Netherealm collide following the merge between Darkseid and Shao Kahn, ultimately forming Dark Kahn. Heroes are haunted by a mysterious force called Rage, forgetting who the true enemy is.",Fighting,3.01,0.54,0.0,0.38,3.93,Midway Games,https://www.igdb.com/companies/midway-games,United States,1969.0
Mortal Kombat vs. DC Universe,6.7,1590,2008,https://www.imdb.com/title/tt1107835/?ref_=adv_li_tt,"The world of Justice League and the Netherealm collide following the merge between Darkseid and Shao Kahn, ultimately forming Dark Kahn. Heroes are haunted by a mysterious force called Rage, forgetting who the true enemy is.",Fighting,3.01,0.54,0.0,0.38,3.93,Midway Amusement Games,https://www.igdb.com/companies/midway-amusement-games,,
Mortal Kombat: Armageddon,7.6,1514,2006,https://www.imdb.com/title/tt0763846/?ref_=adv_li_tt,"The fury of Mortal Kombat has brought the realms to the brink of total destruction. Every warrior has been summoned to a last epic battle, where survival depends on their ability to fight.",Fighting,0.88,0.04,0.0,0.14,1.06,Midway,https://www.igdb.com/companies/midway,United States,1988.0
Mortal Kombat: Armageddon,7.6,1514,2006,https://www.imdb.com/title/tt0763846/?ref_=adv_li_tt,"The fury of Mortal Kombat has brought the realms to the brink of total destruction. Every warrior has been summoned to a last epic battle, where survival depends on their ability to fight.",Fighting,0.88,0.04,0.0,0.14,1.06,Just Games Interactive,https://www.igdb.com/companies/just-games-interactive,,
Mortal Kombat: Deadly Alliance,7.3,1169,2002,https://www.imdb.com/title/tt0214963/?ref_=adv_li_tt,"Two powerful sorcerers, Shang Tsung and Quan Chi, have joined forces to achieve the supreme goal: immortality. Will earth survive their deadly alliance?",Fighting,2.9,0.75,0.0,0.1999999999999999,3.87,Midway,https://www.igdb.com/companies/midway,United States,1988.0
Mortal Kombat: Deception,7.6,1214,2004,https://www.imdb.com/title/tt0411677/?ref_=adv_li_tt,An ancient evil has returned form beyond death and threatens the very existence of the realms. Will the Champion of the Elder Gods have the power to defeat this threat borne of deception?,Fighting,1.53,0.84,0.0,0.27,2.6399999999999997,Midway Games,https://www.igdb.com/companies/midway-games,United States,1969.0
Mortal Kombat: Shaolin Monks,7.5,876,2005,https://www.imdb.com/title/tt0449074/?ref_=adv_li_tt,"Two members of the Shaolin Order, Liu Kang and Kung Lao, travel through the realms in an attempt to thwart Shang Tsung's plans to dominate Earthrealm.",Action,0.8099999999999999,0.09,0.0,0.0999999999999999,1.0,Midway Studios Los Angeles,https://www.igdb.com/companies/midway-studios-los-angeles,United States,1994.0
Mortal Kombat: Shaolin Monks,7.5,876,2005,https://www.imdb.com/title/tt0449074/?ref_=adv_li_tt,"Two members of the Shaolin Order, Liu Kang and Kung Lao, travel through the realms in an attempt to thwart Shang Tsung's plans to dominate Earthrealm.",Action,0.8099999999999999,0.09,0.0,0.0999999999999999,1.0,Midway Games,https://www.igdb.com/companies/midway-games,United States,1969.0
Mortal Kombat: Shaolin Monks,7.5,876,2005,https://www.imdb.com/title/tt0449074/?ref_=adv_li_tt,"Two members of the Shaolin Order, Liu Kang and Kung Lao, travel through the realms in an attempt to thwart Shang Tsung's plans to dominate Earthrealm.",Action,0.8099999999999999,0.09,0.0,0.0999999999999999,1.0,Mortal Kombat Team,https://www.igdb.com/companies/mortal-kombat-team,,
Mortal Kombat: Shaolin Monks,7.5,876,2005,https://www.imdb.com/title/tt0449074/?ref_=adv_li_tt,"Two members of the Shaolin Order, Liu Kang and Kung Lao, travel through the realms in an attempt to thwart Shang Tsung's plans to dominate Earthrealm.",Action,0.8099999999999999,0.09,0.0,0.0999999999999999,1.0,Midway Studios San Diego,https://www.igdb.com/companies/midway-studios-san-diego,United States,
Mortal Kombat: Special Forces,4.3,117,2000,https://www.imdb.com/title/tt0201783/?ref_=adv_li_tt,"Take on the role of Mortal Kombat character Jax, as you descend into the realm of Mortal Kombat in search of arch- villain, Kano. As you make your way through the game, you will delve ... See full summary »",Fighting,0.12,0.08,0.0,0.01,0.21,Midway Games,https://www.igdb.com/companies/midway-games,United States,1969.0
Mortimer Beckett and the Secrets of Spooky Manor,0.0,0,2008,https://www.imdb.com/title/tt10712504/?ref_=adv_li_tt,"Search a spine-tingling setting for scattered secrets, broken objects, and the key component of a mysterious machine in this innovative and immersive investigation. After receiving a letter... See full summary »",Puzzle,0.04,0.0,0.0,0.0,0.04,Mumbo Jumbo,https://www.igdb.com/companies/mumbo-jumbo,,
Mortimer Beckett and the Secrets of Spooky Manor,0.0,0,2008,https://www.imdb.com/title/tt10712504/?ref_=adv_li_tt,"Search a spine-tingling setting for scattered secrets, broken objects, and the key component of a mysterious machine in this innovative and immersive investigation. After receiving a letter... See full summary »",Puzzle,0.04,0.0,0.0,0.0,0.04,Paprikari,https://www.igdb.com/companies/paprikari,Serbia,
Mortimer Beckett and the Secrets of Spooky Manor,0.0,0,2008,https://www.imdb.com/title/tt10712504/?ref_=adv_li_tt,"Search a spine-tingling setting for scattered secrets, broken objects, and the key component of a mysterious machine in this innovative and immersive investigation. After receiving a letter... See full summary »",Puzzle,0.04,0.0,0.0,0.0,0.04,Avanquest,https://www.igdb.com/companies/avanquest,,
Mortimer Beckett and the Secrets of Spooky Manor,0.0,0,2008,https://www.imdb.com/title/tt10712504/?ref_=adv_li_tt,"Search a spine-tingling setting for scattered secrets, broken objects, and the key component of a mysterious machine in this innovative and immersive investigation. After receiving a letter... See full summary »",Puzzle,0.04,0.0,0.0,0.0,0.04,GSP,https://www.igdb.com/companies/gsp,,
Mother 3,9.0,463,2006,https://www.imdb.com/title/tt0825477/?ref_=adv_li_tt,"A young boy from the island of Tazmily must defeat a familiar enemy and his many cohorts, meeting many new friends along the way.",Role-Playing,0.0,0.0,0.39,0.01,0.4,Nintendo,https://www.igdb.com/companies/nintendo,Japan,1969.0
Mother 3,9.0,463,2006,https://www.imdb.com/title/tt0825477/?ref_=adv_li_tt,"A young boy from the island of Tazmily must defeat a familiar enemy and his many cohorts, meeting many new friends along the way.",Role-Playing,0.0,0.0,0.39,0.01,0.4,HAL Laboratory,https://www.igdb.com/companies/hal-laboratory,Japan,1980.0
